"År";"Periode";"Tjenesteområde";"Aktører";"Bostedsregion";"Antall pasienter";"Antall pasienter i døgnbehandling";"Antall oppholdsdøgn";"Antall døgnopphold";"Antall kontakter i poliklinikk";"Antall dagbehandlinger";"FLAGG"
"2020";"januar-april";"Somatikk (SOM)";"Avtalespesialister";"Region Midt-Norge";"58762";"0";"0";"0";"94714";"0";""
"2020";"januar-april";"Somatikk (SOM)";"Avtalespesialister";"Region Nord";"26496";"0";"0";"0";"41155";"0";""
"2020";"januar-april";"Somatikk (SOM)";"Alle aktører";"Landet";"1368604";"208925";"1130951";"272333";"2665674";"218884";""
"2020";"januar-april";"Somatikk (SOM)";"Alle aktører";"Region Sør-Øst";"782869";"115115";"616554";"150738";"1543939";"123966";""
"2020";"januar-april";"Somatikk (SOM)";"Alle aktører";"Region Vest";"277277";"44408";"228944";"57553";"527457";"36367";""
"2020";"januar-april";"Somatikk (SOM)";"Alle aktører";"Region Midt-Norge";"190505";"29163";"163495";"37596";"383960";"33281";""
"2020";"januar-april";"Somatikk (SOM)";"Alle aktører";"Region Nord";"118317";"20271";"121958";"26446";"210318";"25270";""
"2020";"januar-august";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Landet";"1514555";"376913";"2171676";"541331";"3632164";"421930";""
"2020";"januar-august";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Sør-Øst";"829295";"208104";"1183499";"299134";"1981858";"238228";""
"2020";"januar-august";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Vest";"315520";"79976";"439086";"114481";"750438";"69748";""
"2020";"januar-august";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Midt-Norge";"221224";"52779";"315215";"75169";"566384";"63803";""
"2020";"januar-august";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Nord";"150030";"36178";"233876";"52547";"333484";"50151";""
"2020";"januar-august";"Somatikk (SOM)";"Avtalespesialister";"Landet";"781940";"0";"0";"0";"1550539";"0";""
"2020";"januar-august";"Somatikk (SOM)";"Avtalespesialister";"Region Sør-Øst";"490615";"0";"0";"0";"1006482";"0";""
"2020";"januar-august";"Somatikk (SOM)";"Avtalespesialister";"Region Vest";"151867";"0";"0";"0";"281207";"0";""
"2020";"januar-august";"Somatikk (SOM)";"Avtalespesialister";"Region Midt-Norge";"94475";"0";"0";"0";"180866";"0";""
"2020";"januar-august";"Somatikk (SOM)";"Avtalespesialister";"Region Nord";"45269";"0";"0";"0";"81984";"0";""
"2020";"januar-august";"Somatikk (SOM)";"Alle aktører";"Landet";"1964953";"376913";"2171676";"541331";"5182703";"421930";""
"2020";"januar-august";"Somatikk (SOM)";"Alle aktører";"Region Sør-Øst";"1118811";"208104";"1183499";"299134";"2988340";"238228";""
"2020";"januar-august";"Somatikk (SOM)";"Alle aktører";"Region Vest";"401151";"79976";"439086";"114481";"1031645";"69748";""
"2020";"januar-august";"Somatikk (SOM)";"Alle aktører";"Region Midt-Norge";"272162";"52779";"315215";"75169";"747250";"63803";""
"2020";"januar-august";"Somatikk (SOM)";"Alle aktører";"Region Nord";"174822";"36178";"233876";"52547";"415468";"50151";""
"2020";"hele året";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Landet";"1933993";"539968";"3393647";"833103";"5797912";"668140";""
"2020";"hele året";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Sør-Øst";"1060004";"297277";"1844721";"458125";"3158232";"378053";""
"2020";"hele året";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Vest";"403961";"114752";"683297";"176591";"1198244";"109881";""
"2020";"hele året";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Midt-Norge";"281724";"76232";"497527";"116864";"904179";"102141";""
"2020";"hele året";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Nord";"192097";"52016";"368102";"81523";"537257";"78065";""
"2020";"hele året";"Somatikk (SOM)";"Avtalespesialister";"Landet";"1072862";"0";"0";"0";"2501458";"0";""
"2020";"hele året";"Somatikk (SOM)";"Avtalespesialister";"Region Sør-Øst";"667872";"0";"0";"0";"1617660";"0";""
"2020";"hele året";"Somatikk (SOM)";"Avtalespesialister";"Region Vest";"211102";"0";"0";"0";"457742";"0";""
"2020";"hele året";"Somatikk (SOM)";"Avtalespesialister";"Region Midt-Norge";"130140";"0";"0";"0";"291479";"0";""
"2020";"hele året";"Somatikk (SOM)";"Avtalespesialister";"Region Nord";"64534";"0";"0";"0";"134577";"0";""
"2020";"hele året";"Somatikk (SOM)";"Alle aktører";"Landet";"2465743";"539968";"3393647";"833103";"8299370";"668140";""
"2020";"hele året";"Somatikk (SOM)";"Alle aktører";"Region Sør-Øst";"1402468";"297277";"1844721";"458125";"4775892";"378053";""
"2020";"hele året";"Somatikk (SOM)";"Alle aktører";"Region Vest";"505838";"114752";"683297";"176591";"1655986";"109881";""
"2020";"hele året";"Somatikk (SOM)";"Alle aktører";"Region Midt-Norge";"341255";"76232";"497527";"116864";"1195658";"102141";""
"2020";"hele året";"Somatikk (SOM)";"Alle aktører";"Region Nord";"221206";"52016";"368102";"81523";"671834";"78065";""
"2021";"januar-april";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Landet";"1132336";"217562";"1170934";"285369";"2181812";"245720";""
"2021";"januar-april";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Sør-Øst";"612763";"117417";"632420";"154395";"1173420";"138304";""
"2021";"januar-april";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Vest";"236353";"46688";"236275";"61053";"455320";"42372";""
"2021";"januar-april";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Midt-Norge";"169403";"31408";"171688";"40905";"344562";"37352";""
"2021";"januar-april";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Nord";"114118";"22079";"130551";"29016";"208510";"27692";""
"2021";"januar-april";"Somatikk (SOM)";"Avtalespesialister";"Landet";"531800";"0";"0";"0";"889810";"0";""
"2021";"januar-april";"Somatikk (SOM)";"Avtalespesialister";"Region Sør-Øst";"334230";"0";"0";"0";"570574";"0";""
"2021";"januar-april";"Somatikk (SOM)";"Avtalespesialister";"Region Vest";"103987";"0";"0";"0";"166836";"0";""
"2021";"januar-april";"Somatikk (SOM)";"Avtalespesialister";"Region Midt-Norge";"65188";"0";"0";"0";"106025";"0";""
"2021";"januar-april";"Somatikk (SOM)";"Avtalespesialister";"Region Nord";"28463";"0";"0";"0";"46375";"0";""
"2021";"januar-april";"Somatikk (SOM)";"Alle aktører";"Landet";"1484116";"217562";"1170934";"285369";"3071622";"245720";""
"2021";"januar-april";"Somatikk (SOM)";"Alle aktører";"Region Sør-Øst";"838308";"117417";"632420";"154395";"1743994";"138304";""
"2021";"januar-april";"Somatikk (SOM)";"Alle aktører";"Region Vest";"303968";"46688";"236275";"61053";"622156";"42372";""
"2021";"januar-april";"Somatikk (SOM)";"Alle aktører";"Region Midt-Norge";"210171";"31408";"171688";"40905";"450587";"37352";""
"2021";"januar-april";"Somatikk (SOM)";"Alle aktører";"Region Nord";"132072";"22079";"130551";"29016";"254885";"27692";""
