"År";"Periode";"Tjenesteområde";"Aktører";"Bostedsregion";"Antall pasienter";"Antall pasienter i døgnbehandling";"Antall oppholdsdøgn";"Antall kontakter i poliklinikk";"FLAGG"
"2020";"hele året";"PHV-Psykisk helsevern for voksne";"Alle aktører";"Region Nord";"17198";"2869";"98542";"192807";""
"2021";"januar-april";"PHV-Psykisk helsevern for voksne";"Offentlige helseforetak og private institusjoner";"Landet";"102482";"12671";"336138";"698003";""
"2021";"januar-april";"PHV-Psykisk helsevern for voksne";"Offentlige helseforetak og private institusjoner";"Region Sør-Øst";"56553";"6807";"186023";"404163";""
"2021";"januar-april";"PHV-Psykisk helsevern for voksne";"Offentlige helseforetak og private institusjoner";"Region Vest";"19997";"2663";"73817";"130930";""
"2021";"januar-april";"PHV-Psykisk helsevern for voksne";"Offentlige helseforetak og private institusjoner";"Region Midt-Norge";"16086";"1771";"40592";"101808";""
"2021";"januar-april";"PHV-Psykisk helsevern for voksne";"Offentlige helseforetak og private institusjoner";"Region Nord";"10039";"1449";"35706";"61102";""
"2021";"januar-april";"PHV-Psykisk helsevern for voksne";"Avtalespesialister";"Landet";"34330";"0";"0";"239423";""
"2021";"januar-april";"PHV-Psykisk helsevern for voksne";"Avtalespesialister";"Region Sør-Øst";"20947";"0";"0";"158544";""
"2021";"januar-april";"PHV-Psykisk helsevern for voksne";"Avtalespesialister";"Region Vest";"8660";"0";"0";"50516";""
"2021";"januar-april";"PHV-Psykisk helsevern for voksne";"Avtalespesialister";"Region Midt-Norge";"2830";"0";"0";"16702";""
"2021";"januar-april";"PHV-Psykisk helsevern for voksne";"Avtalespesialister";"Region Nord";"1929";"0";"0";"13661";""
"2021";"januar-april";"PHV-Psykisk helsevern for voksne";"Alle aktører";"Landet";"134265";"12671";"336138";"937426";""
"2021";"januar-april";"PHV-Psykisk helsevern for voksne";"Alle aktører";"Region Sør-Øst";"75908";"6807";"186023";"562707";""
"2021";"januar-april";"PHV-Psykisk helsevern for voksne";"Alle aktører";"Region Vest";"28058";"2663";"73817";"181446";""
"2021";"januar-april";"PHV-Psykisk helsevern for voksne";"Alle aktører";"Region Midt-Norge";"18685";"1771";"40592";"118510";""
